Week,Revenue,Units_Sold
2020-12-28,2353450.32,20879
2021-01-04,4880680.14,43695
2021-01-11,4874006.01,43321
2021-01-18,4901585.07,43530
2021-01-25,4866173.38,43499
2021-02-01,4716247.53,41885
2021-02-08,4725922.9,41979
2021-02-15,4726094.99,42099
2021-02-22,4742951.82,42167
2021-03-01,5140034.75,46019
2021-03-08,5181327.44,46249
2021-03-15,5214821.77,46319
2021-03-22,5182927.26,46187
2021-03-29,5159873.72,45882
2021-04-05,5143198.44,45671
2021-04-12,5178848.92,46135
2021-04-19,5182575.82,46119
2021-04-26,5228624.49,46338
2021-05-03,5324889.97,47280
2021-05-10,5243361.39,46866
2021-05-17,5245293.22,46570
2021-05-24,5239305.71,46675
2021-05-31,4712341.3,41957
2021-06-07,4654463.34,41293
2021-06-14,4670311.46,41280
2021-06-21,4618392.06,41175
2021-06-28,4596020.01,40791
2021-07-05,4581500.78,40670
2021-07-12,4517593.94,40514
2021-07-19,4500911.73,40081
2021-07-26,4554295.77,40507
2021-08-02,4645964.77,41236
2021-08-09,4633126.23,41208
2021-08-16,4640595.33,41313
2021-08-23,4635184.41,41168
2021-08-30,5264408.24,46693
2021-09-06,5454153.23,48316
2021-09-13,5440015.21,48405
2021-09-20,5421932.68,48293
2021-09-27,5788309.12,51309
2021-10-04,6209324.41,55283
2021-10-11,6188793.51,55166
2021-10-18,6202479.89,55251
2021-10-25,6188158.78,55119
2021-11-01,6959795.45,61767
2021-11-08,6991640.46,62347
2021-11-15,6924351.62,61599
2021-11-22,6905482.69,61537
2021-11-29,6761696.19,60434
2021-12-06,6677088.77,59442
2021-12-13,6694218.72,59381
2021-12-20,6689775.63,59693
2021-12-27,6150238.46,55170
2022-01-03,5124876.48,45623
2022-01-10,5178197.11,45948
2022-01-17,5132693.03,45689
2022-01-24,5154371.29,45786
2022-01-31,5022873.99,44569
2022-02-07,4980264.66,44149
2022-02-14,5020020.92,44638
2022-02-21,4968128.17,44100
2022-02-28,5365909.57,47767
2022-03-07,5420044.92,48272
2022-03-14,5375806.4,47900
2022-03-21,5415407.5,48250
2022-03-28,5448362.29,48551
2022-04-04,5435322.41,48171
2022-04-11,5381903.05,47901
2022-04-18,5437155.0,48627
2022-04-25,5418953.98,48193
2022-05-02,5533912.42,49252
2022-05-09,5476924.61,48930
2022-05-16,5516759.65,49074
2022-05-23,5600407.41,49600
2022-05-30,5017023.32,44695
2022-06-06,4857998.3,43513
2022-06-13,4890157.22,43493
2022-06-20,4848003.84,43245
2022-06-27,4848298.65,43112
2022-07-04,4765820.79,42432
2022-07-11,4761575.17,42290
2022-07-18,4765675.8,42574
2022-07-25,4715211.26,42031
2022-08-01,4863441.72,43328
2022-08-08,4857496.95,43358
2022-08-15,4912489.64,43772
2022-08-22,4919604.26,43679
2022-08-29,5333878.21,47753
2022-09-05,5696702.34,50465
2022-09-12,5675204.6,50532
2022-09-19,5686192.99,50783
2022-09-26,5932852.69,52835
2022-10-03,6469930.45,57780
2022-10-10,6435676.87,57382
2022-10-17,6514211.86,57754
2022-10-24,6504828.68,58055
2022-10-31,7208238.32,64147
2022-11-07,7304242.64,65117
2022-11-14,7287869.35,64767
2022-11-21,7340113.67,65172
2022-11-28,7179480.18,63928
2022-12-05,7071318.17,63020
2022-12-12,7053036.65,62915
2022-12-19,7053685.94,62977
2022-12-26,6754452.59,59934
2023-01-02,5404643.84,48253
2023-01-09,5368120.83,47915
2023-01-16,5415582.08,48272
2023-01-23,5377605.82,47943
2023-01-30,5268209.96,46982
2023-02-06,5206739.02,46380
2023-02-13,5215991.8,46341
2023-02-20,5205384.94,46418
2023-02-27,5663644.16,50380
2023-03-06,5719991.74,50755
2023-03-13,5607160.52,50056
2023-03-20,5682139.76,50701
2023-03-27,5705061.44,50739
2023-04-03,5692137.52,50451
2023-04-10,5645658.9,50330
2023-04-17,5708564.93,50865
2023-04-24,5675206.47,50453
2023-05-01,5783579.87,51623
2023-05-08,5724717.31,51157
2023-05-15,5778497.66,51256
2023-05-22,5779921.9,51432
2023-05-29,5374837.32,47706
2023-06-05,5072825.03,45299
2023-06-12,5107569.13,45431
2023-06-19,5129625.25,45520
2023-06-26,5017396.49,44756
2023-07-03,5041624.3,44889
2023-07-10,4997629.91,44397
2023-07-17,4978545.14,44197
2023-07-24,4944052.72,44017
2023-07-31,5059836.85,45212
2023-08-07,5080968.06,45168
2023-08-14,5085091.57,45144
2023-08-21,5109753.28,45423
2023-08-28,5519691.5,48984
2023-09-04,5930829.33,52867
2023-09-11,5947162.36,52994
2023-09-18,5948330.17,53130
2023-09-25,6074065.16,54255
2023-10-02,6797742.63,60405
2023-10-09,6842993.23,60864
2023-10-16,6856182.2,60980
2023-10-23,6807935.83,60948
2023-10-30,7414646.86,65773
2023-11-06,7600313.74,67834
2023-11-13,7673859.82,68458
2023-11-20,7670981.53,68355
2023-11-27,7559195.32,67274
2023-12-04,7336693.78,65617
2023-12-11,7334688.95,65467
2023-12-18,7440799.75,66354
2023-12-25,7416870.75,65857
2024-01-01,5650918.25,50533
